Duty    Speed   Current                                                                    
0.000000        -0.408497       1.350776                                                   
0.039978        0.000000        1.354321                                                   
0.079956        0.326797        1.356416                                                   
0.119934        8.374184        1.357866                                                   
0.159912        18.218954       1.356094                                                   
0.199890        27.124184       1.355288                                                   
0.239868        36.683006       1.355933                                                   
0.279846        46.037582       1.359639                                                   
0.319824        58.986931       1.358189                                                   
0.359802        72.508171       1.356255                                                   
0.399780        80.637260       1.359316                                                   
0.439758        90.645424       1.358994                                                   
0.479736        105.351311      1.351421                                                   
0.519714        112.826797      1.358027                                                   
0.559692        126.879089      1.336758                                                   
0.599670        134.967331      1.360444                                                   
0.639648        148.325165      1.356094                                                   
0.679626        157.883987      1.358027                                                   
0.719604        168.300659      1.359639                                                   
0.759583        180.882355      1.357544                                                   
0.799561        191.176483      1.344653                                                   
0.839539        201.715698      1.354966                                                   
0.879517        212.500000      1.354644                                                   
0.919495        224.019608      1.348198                                                   
0.959473        234.599686      1.356255                                                   
0.999451        245.383987      1.355449  
